Building name,District,Capacity Installed (kW),Latitude,Longitude
SIO Office,Etah,4,,
SIO Office,Pilibhit,4,,
SIO Office,Bahraich,4,,
SIO Office,Etawah,4,,
SIO Office,Baghpat,4,,
SIO Office,Mau,4,,
Police Adhikshak,Meerut,4,28.9855886,77.71939842
Police Adhikshak,Meerut,4,28.98652168,77.71970309
Police Adhikshak,Agra,4,27.17805111,78.0068676
Police Adhikshak,Agra,4,27.17849807,78.00782113
Police Adhikshak,Moradabad,4,28.85298172,78.75871809
Police Adhikshak,Moradabad,4,28.85298172,78.75871809
Police Adhikshak,Bareilly,4,28.34374709,79.42043551
Police Adhikshak,Bareilly,4,28.34374709,79.42043551
Mandaladhikari Office,Aligarh,4,27.90452305,78.07131013
SIO Office,Bulandshahr,4,,
SIO Office,Mathura,4,,
SIO Office,Firozabad,4,,
Police Adhikshak,Lucknow,4,26.88337123,80.95946941
Police Adhikshak,Lucknow,4,26.86618281,80.92445234
Mandaladhikari Office,Azamgarh,4,26.044329,83.18621021
Mandaladhikari Office,Gonda,4,27.12933173,81.94231613
SIO Office,Rae Bareli,4,,
SIO Office,Shahjahanpur,4,,
SIO Office,Deoria,4,,
SIO Office,Jaunpur,4,,
SIO Office,Bhadohi,4,,
SIO Office,Kanpur Dehat,4,,
Police Line Colony,Sitapur,4,27.56307391,80.68970105
"Primary School, Police Line",Ghazipur,4,25.56821327,83.53828669
Police Line Campus,Bijnor,4,29.37604397,78.13144932
"Special Abhisuchana Adhikari, Office",Hardoi,4,27.39731014,80.13261142
Police District Control room,Rampur,4,28.78253062,79.02845566
Akhbarpur Kotwali,Ambedkar Nagar,4,,
Police Adhikshak,Varanasi,4,25.31291885,82.99634672
Police Adhikshak,Varanasi,4,25.31291885,82.99634672
Police Adhikshak,Gorakhpur,4,26.75011569,83.37640349
Police Adhikshak,Gorakhpur,4,26.75011569,83.37640349
Mandaladhikari Office,Ghaziabad,4,28.6536462,77.44251673
Mandaladhikari Office,Jhansi,4,25.44356402,78.57929857
Mandaladhikari Office,Saharanpur,4,29.94803712,77.54877161
Mandaladhikari Office,Shravasti,4,27.70270667,81.92751917
Mandaladhikari Office,Sonbhadra,4,24.64850982,83.05504915
Mandaladhikari Office,Mirzapur,4,25.15383354,82.58100389
Mandaladhikari Office,Banda,4,25.49242642,80.33146331
SIO Office,Gautam Buddh Nagar,4,,
Adhishuchna Office,Jalaun,4,26.13621664,79.33857499
Adhishuchna Office,Mahoba,4,25.29188132,79.8792971
Police Adhikshak,Hamirpur,4,25.95847886,80.15516275
Adhishuchna Office,Siddharthnagar,4,27.26920952,83.08708799
"Special Abhisuchana Adhikari, Office",Sant Kabir Nagar,4,26.79426778,83.0706223
"Special Abhisuchana Adhikari, Office",Maharajganj,4,27.14465278,83.54373844
"Nighasan, Tehsil",Lakhimpur Kheri,20,28.23834692,80.86134004
"Lalganj, Tehsil",Mirzapur,20,25.03995401,82.47253327
Commisionary,Mirzapur,20,25.1342678,82.56766323
"Ghanghata, Tehsil",Sant Kabir Nagar,20,,
"Lambhua,Tehsil", Sultanpur,20,26.14013349,82.22416494
Tehsil,Prayagraj,20,25.46685809,81.85231404
Commisionary,Basti,20,26.7847842,82.72103153
"Sawayajpur, Tehsil", Hardoi,20,27.43454279,79.79456761
"Mahmoodabad, Tehsil",Sitapur,20,27.29516122,81.12313841
"Hata, Tehsil",Kushinagar,20,26.74297383,83.74602802
"Rudouli, Tehsil",Ayodhya,20,26.7812687,81.7536884
"Salempur, Tehsil",Deoria,20,26.2994045,83.92279572
"Mankapur, Tehsil",Gonda,20,27.06258561,82.2055855
Tehsil,Ambedkar Nagar,20,26.42748478,82.53409746
"Ghanora,Tehsil",Amroha,20,,
Tehsil,Moradabad,20,28.83810702,78.77988168
"Chauri Chaura,Tehsil", Gorakhpur,20,26.64355372,83.5863356
"Tiloi,Tehsil", Amethi,20,26.36694528,81.47638044
Tehsil,Siddharthnagar,20,,
"Derapur, Tehsil",Kanpur,20,26.4192377,79.79368771
"Nautnava, Tehsil",Maharajganj,20,27.43948699,83.42313934
"Malihabad,Tehsil", Lucknow,20,26.9207836,80.71326031
"Tulsipur, Tehsil",Balrampur,20,27.52927656,82.40469098
"Mahsi, Tehsil",Bahraich,20,27.61067937,81.41713902
"Sirauli Gauspur, Tehsil",Barabanki,20,26.9857759,81.45832978
"Takha, Tehsil",Etawah,20,26.88137744,79.28322481
"Jaswant Nagar,Tehsil", Etawah,20,26.86819982,78.9186444
"Chakar Nagar,Tehsil", Etawah,20,26.58045961,79.11084412
"Puranpur,Tehsil", Pilibhit,20,28.5094852,80.14636673
"Ghosi, Tehsil",Mau,20,26.1148058,83.54456283
"Maholi, Tehsil",Sitapur,20,27.64461532,80.49566075
Tehsil,Chitrakoot,20,25.15062859,80.85939075
"Jakhnia, Tehsil",Ghazipur,20,25.74294739,83.37707726
"Nawabganj, Tehsil",Bareilly,20,26.9255159,81.18007081
"Swar, Tehsil",Rampur,20,28.82270882,79.03516197
"Bilsi, Tehsil",Badaun,20,28.13507301,78.91060443
Tehsil,Banda,20,25.48126885,80.33327236
Collectorate,Chitrakoot,50,25.18691432,80.91205566
Collectorate,Bhadohi,50,25.3587599,82.46237124
Collectorate,Mainpuri,50,27.23942888,79.05227465
Collectorate,Fatehpur,50,25.92825264,80.80255369
Collectorate,Jhansi,50,25.44340381,78.57866184
Collectorate,Kannauj,50,27.02805589,79.9224688
Collectorate,Ayodhya,50,26.77317931,82.12534577
Collectorate,Mau,50,25.91543428,83.56232054
Collectorate,Gorakhpur,50,26.74902653,83.37068444
Collectorate,Mathura,50,27.47460136,77.69219891
"Sadar, Tehsil",Pratapgarh,20,25.91917922,82.00190182
"Madhogarh, Tehsil",Jalaun,20,26.28014898,79.18402271
"Ajitmal, Tehsil",Auraiya,20,26.56477783,79.31588678
"Khaga, Tehsil",Fatehpur,20,25.76795903,81.10211691
"Kulpahad, Tehsil",Mahoba,20,25.31372345,79.64247798
"Rath, Tehsil",Hamirpur,20,25.59691199,79.57416102
"Chakya,Tehsil",Chandauli,20,25.04878224,83.2204497
"Ghorawal, Tehsil",Sonbhadra,20,24.75581435,82.77869484
"Belthta Road,  Tehsil",Ballia,20,26.11997767,83.86221953
"Sagdi, Tehsil",Azamgarh,20,26.15459873,83.33227063
"Kishni, Tehsil",Mainpuri,20,27.01847454,79.25779842
"Sadar,  Tehsil",Mathura,20,27.19144804,78.01951292
"Amritpur,Tehsil",Farrukhabad,20,27.52914138,79.6003992
"Talbehat, Tehsil",Lalitpur,20,25.03657466,78.429856
"Jarsana, Tehsil",Firozabad,20,27.23982594,78.65374055
"Deoband, Tehsil",Saharanpur,20,29.69213558,77.67735716
"Iglas, Tehsil",Aligarh,20,27.70264626,77.94466534
"Chibramau, Tehsil",Kannauj,20,27.1397677,79.49963937
"Bhinga, Tehsil",Shravasti,20,27.70540537,81.93086313
"Tilhar, Tehsil",Shahjahanpur,20,27.96625105,79.7292719
"Gunnaur, Tehsil",Sambhal,20,28.23664982,78.4415854
"Bah, Tehsil",Agra,20,26.8682924,78.59350247
"Budhana, Tehsil",Muzaffarnagar,20,29.28946823,77.46696541
"Mawana, Tehsil",Meerut,20,29.10653954,77.92738325
"Garotha, Tehsil",Jhansi,20,25.57369265,79.29696465
Rani Padmavati Tarayog Tantra Adarsh Sanskrit Mahavidyalaya,Varanasi,1,25.34707669,82.95567646
Prathmik Vidyalaya Midgakur-1,Agra,1,27.13003554,78.02929754
Prathmik Vidyalaya Gadi Daulat,Agra,1,27.12834401,78.02731338
Prathmik Vidyalaya Nagla Gujra,Agra,1,27.01666242,77.93236718
Poorv Madhyamik Vidyalaya-1 Midhakur,Agra,1,27.14625778,77.94147051
Prathmik Vidyalaya Gadi Daulat,Agra,1,27.16092693,77.87324581
Prathmik Vidyalaya Gadi Daulat,Agra,1,27.16092693,77.87324581
Prathmik Vidyalaya Gadi Daulat,Agra,1,27.16092693,77.87324581
Prathmik Vidyalaya Gadi Daulat,Agra,1,27.16092693,77.87324581
Prathmik Vidyalaya,Ballia,1,25.98637984,84.04472123
Prathmik Vidyalaya,Ballia,1,25.98637984,84.04472123
Prathmik Vidyalaya,Ballia,1,25.98637984,84.04472123
Prathmik Vidyalaya,Ballia,1,25.98637984,84.04472123
Prathmik Vidyalaya,Ballia,1,25.98637984,84.04472123
Gaushala,Etawah,4,,
Gaushala,Kasganj,4,,
Gaushala,Hapur,4,,
Gaushala,Farrukhabad,4,,
Gaushala,kannauj,4,,
Gaushala,Kanpur,4,,
Gaushala,Chitrakoot,4,,
Gaushala,Meerut,5,,
Prathmik Vidyalaya Sahara-1,Agra,1,27.18303266,77.97292291
Poorv Madhyamik Vidyalaya Sahara,Agra,1,27.37024151,79.12677143
Prathmik Vidyalaya Ladamada,Agra,1,27.08965926,77.92444027
Poorv Madhyamik Vidyalaya Ladamada,Agra,1,27.04312576,77.98457132
Prathmik Vidyalaya Angoothi-1,Agra,1,,
Poorv Madhyamik Vidyalaya Angoothi,Agra,1,27.15325523,79.02484294
Prathmik Vidyalaya Sadarvan,Agra,1,,
Poorv Madhyamik Vidyalaya Sadarvan,Agra,1,,
Prathmik Vidyalaya,Ballia,1,25.76145615,84.06485316
Prathmik Vidyalaya,Ballia,1,25.78751514,84.15573976
Prathmik Vidyalaya,Ballia,1,25.74755569,84.11758453
Prathmik Vidyalaya,Ballia,1,25.75913952,84.19003659
Prathmik Vidyalaya,Ballia,1,25.9486115,84.09936893
Gaushala,Lucknow,4,,
Gaushala,Hamirpur,4,,
Gaushala,Banda,4,,
Gaushala,Gonda,4,,
Gaushala,Balrampur,4,,
Gaushala,Rae Bareli,4,,
Gaushala,Fatehpur,4,,
Govt Library,Barabanki,5,26.92649425,81.19632707
Central Bar Association,Lucknow,20,26.85422656,80.93048383
Poorv Madhyamik Vidyalaya ,Agra,1,27.17876497,77.97077963
Prathmik Vidyalaya Nagla Hatti ,Agra,1,27.12441091,77.89846082
Prathmik Vidyalaya Nagla Bhuria,Agra,1,27.12308345,77.90261908
Prathmik Vidyalaya ,Agra,1,27.1300824,78.02836645
Prathmik Vidyalaya -2,Agra,1,27.11532387,78.01207282
Prathmik Vidyalaya -1,Agra,1,27.11532387,78.01207282
