District,Building name,Capacity Installed (kW),Latitude,Longitude
Prayagraj,"Forest Department, Prayagraj",8,25.4712696,81.82869221
Prayagraj,"Forest Department, Prayagraj",5,25.4712696,81.82869221
Varanasi,"Kashi Vidyapeeth, Varanasi",135,25.3223627,82.9889953
Meerut,"Comissioner camp office, Meerut",4,28.99434569,77.72611903
Hapur,"Animal Husbandry, Hapur",75,28.73407474,77.77533126
Pilibhit,"Vikas Bhawan, Pilibhit",75,28.64951534,79.82307384
Bijnor,"Vikas Bhawan, Bijnor",50,29.376601,78.13265878
Barabanki,"Vikas Bhwan ,Barabanki",57,26.91798394,81.17885628
Pilibhit,"Collectorate Bhawan, Pilibhit",90,28.65007865,79.82217598
Barabanki,"Collectorate Bhawan, Barabanki",65,26.92690996,81.18343301
Varanasi,"Collectorate Bhawan, Varanasi",104,25.34442827,82.97851581
Mirzapur,"Vikas Bhawan, Mirzapur",60,25.13330825,82.56882022
Lucknow,"Nari Shiksha Niketan, Lucknow",7,26.85350816,80.92949568
Fatehpur,"Vikas Bhawan, Fatehpur",20,25.92356253,80.79865513
Meerut,"Vikas Bhawan, Meerut",20,28.98868708,77.7167091
Muzaffar nagar,"Collectorate Bhawan, Muzaffarnagar",25,29.47132757,77.70303653
Rae Bareli,"Collectorate Bhawan, Raebareli",34,26.21499639,81.2491404
 Ghaziabad,"Nagar Palika, Modinagar, Ghaziabad",30,28.83699714,77.58183923
 Ghaziabad,"Tehsil, Modinagar, Ghaziabad",20,28.87543493,77.59050641
Saharanpur,"Collectorate Bhawan, Saharanpur",40,29.9480243,77.54858583
Lucknow,"K D Singh Babu Stadium, Lucknow",34,26.85583137,80.93767977
Saharanpur,Vikas Bhawan Saharanpur,50,29.93223743,77.53252014
Agra,"Vikas Bhawan , Agra",50,27.20088165,78.00478581
Agra,"Collectorate Bhawan, Agra",80,27.17838183,78.00730973
Lucknow,"Judicial Training & Reserch Insitute Gomti Nagar, Lucknow",400,26.85192735,81.01552328
Lucknow,Lucknow university  Lucknow,500,26.86379071,80.93605472
Lucknow,Architecture College Lucknow,100,26.86263488,80.93333287
Jhansi,Bundelkhand University Jhansi,500,25.45319596,78.60983772
Jhansi,Bundelkhand University Jhansi,550,25.45319596,78.60983772
Lucknow,ICCMRT Indira Nagar Lucknow,120,26.88694509,80.98114668
Ayodhya,Distt. Combined Hospital (Ayodhya),300,27.33694553,82.41686593
Lucknow,"Animal Husbandary Department, Lucknow",200,26.87211987,80.95691305
Auraiya,GAIL Petrochemicals,5760,26.70030333,79.48662479
Amethi,HAL korwa,1750,26.21952836,81.82188038
Varanasi,Babatpur Airport,2000,25.45088898,82.85597467
Ghaziabad,Ordinance Factory ,2000,28.75982471,77.51550932
Jhansi,MLR Jhansi Workshop,1205,25.42491004,78.54347187
Varanasi,DLW Varanasi,1100,25.29215048,82.95318406
Lucknow,Lucknow University,1000,26.86367551,80.93609984
Gorakhpur,Deen Dayal Upadhyay University,1000,26.74827623,83.38077592
Jhansi,Wagon Repair Workshop,1000,25.42929753,78.54574977
Lucknow,Scooter India Ltd.,1000,26.74329214,80.8512592
Ghaziabad,NTPC Dadri,1000,28.59931874,77.60866095
Jhansi,MLR Jhansi Workshop,970,25.42491004,78.54347187
Lucknow,Cariage & Wagon Workshop,893,26.82564448,80.9028028
Lucknow,"Locomotive Workshop of Railway, Charbagh",800,26.82805631,80.9262817
Prayagraj,Allahabad High Court,745,26.93304415,81.00677669
Varanasi,DLW Varanasi,700,25.29215048,82.95318406
Muzaffar nagar,Muzaffarnagar Medical college,500,29.37305822,77.70586285
Prayagraj,CRPF Group Center Phaphamau,499,25.55397504,81.88725728
Agra,Agra Cantt Railwat Stn.,375,27.15904436,77.99060408
Kanpur,NSI Kanpur,300,26.50697979,80.25194454
Agra,Dhaul Pur Station ,94.7,27.17521008,78.00695281
Kanpur,ITO Kanpur,90,26.47487283,80.35413998
Mathura,Mathura II Entrygate Agra,89.6,27.49296964,77.67355652
Jhansi,Central Agroforestry Research Institute,80,25.50425341,78.54304277
Meerut,CGST Commissionerate ,76.8,28.96656443,77.73848933
Meerut,RAF-CRPF,75,28.94423594,77.65215367
Lucknow,Regional Trg. Center chinhat,75,26.87144257,81.00252147
Lucknow,DR RML lohia park,75,26.8577128,80.97974916
Lucknow,UPERC,70,26.85902418,81.02226318
Bareilly,Central Avaim Research Institute,56,28.4052248,79.43301815
Agra,CGO- Kendriya Sadan,50,27.19717579,78.0061152
Prayagraj,Mela Shed,50,25.43937167,81.87946093
Kanpur,India Thermit Corporation Ltd Kanpur,50,26.45865876,80.31355459
Kanpur,"India Thermit Ltd, Kanpur",50,26.45310173,80.26387743
Mathura,Plateform No I Railway Station ,39.69,26.44718565,80.34593995
Kanpur,PRS Building ALD UP,39.69,,
Ghaziabad,Northan India Textile Research Association,100,28.6908347,77.45440725
Lucknow,MES Army cantt,33,26.80797518,80.94750214
Kausambhi,District Magistrate Office Kausambhi,70,25.53381053,81.3876149
Kanpur,KESCO Kanpur,80,26.39133283,80.41164495
Kanpur,KESCO collection centres Kanpur,92,26.48233245,80.3342188
Kanpur,KESCO collection centres Kanpur,29,26.48233245,80.3342188
Gorakhpur,Madan Mohan Malviya Technical,100,26.7316307,83.43314905
Lucknow,District Magistrate Office M.G.Road,135,26.85183459,80.93870289
Lucknow,King George Medical University,400,26.86944506,80.91621201
Lucknow,Vikas Bhawan Lucknow,108,26.87898998,80.97359697
Varanasi,Vikas Bhawan Varanasi,75,26.88527061,80.97170005
Prayagraj,Vikas Bhawan Allahabad,70,25.52151225,81.84321686
Lucknow,Bus Station UPSRTC kesar Bagh,40,26.85366308,80.92838599
Lucknow,Anchalik Vigyan kendra,10,26.88999863,80.94031291
Agra,District Magistrate Office Agra,80,27.17800748,78.00722921
Agra,Municipality Office Agra,25,27.20372526,78.00580874
Lucknow,Govt Girls Polytechnic,80,26.87493092,81.00010745
Lucknow,Cantonment General Hospital,33,26.82622412,80.94467235
Hapur,"A I Production Centre, Hapur",75,28.74111106,77.76901424
Lucknow,AKTU Lucknow,1000,27.03056456,80.95679063
Jhansi,Bundelkhand University Jhansi,1050,25.45319596,78.60983772
Varanasi,Banaras Hindu University,8000,25.27905338,83.00195454
GB Nagar,Gautam Budh University,2840.8,28.4211398,77.5267391
Aligarh,Aligarh Muslim University-2,1670,27.91371015,78.0781901
Varanasi,IIT BHU,1500,25.26221149,82.99220103
Aligarh,Aligarh Muslim University-1,1500,27.91366275,78.0781901
