Dist_Name,State_Name,Utility_counts(MW),Utility(MW),C&I Capacity Installed (kW),Govt Capacity Installed (kW),R Capacity Installed (kW),Combined Rooftop Capacity (kW),DDG_Solar_Counts,DDG_Solar_Cap_KW,Minigrid_Counts,Minigrid_cap_KW,SSL_Count,Floating solar(MW),Biomass,Biomass_counts,Hydro power,SP_cap(MW),SP_Counts
Agra,UTTAR PRADESH,2,58,7111.41,4602.4,5177.4,16891.2,0,0,0,0,3305,0,200,3,0,177.6,220
Aligarh,UTTAR PRADESH,0,0,5945.82,2487,1032.7,9465.5,0,0,0,0,4825,0,2,1,0,152.5,192
Ambedkar Nagar,UTTAR PRADESH,0,0,50,1958.6,136.1,2144.6,0,0,0,0,1524,0,0,0,0,132.9,153
Amethi,UTTAR PRADESH,1,10,394,4552.7,47.3,4994,0,0,0,0,1922,0,7,1,0,171.7,238
Amroha,UTTAR PRADESH,0,0,50,292.4,36.4,378.8,0,0,0,0,1104,0,20.6,2,0,732.6,997
Auraiya,UTTAR PRADESH,2,40,0,5896,40.8,5936.8,0,0,2,325,1999,0,0,0,0,99.8,128
Ayodhya,UTTAR PRADESH,1,40,500,1621.4,384.1,2505.5,0,0,0,0,1311,0,10,1,0,183.2,286
Azamgarh,UTTAR PRADESH,0,0,0,1856.6,351.2,2207.8,0,0,1,170,1750,0,0,0,0,194,333
Baghpat,UTTAR PRADESH,0,0,30,179.1,72.5,281.5,0,0,0,0,1737,0,15,2,0,135.2,171
Bahraich,UTTAR PRADESH,3,40,0,85.1,335.9,421,5,112,0,0,3040,0,12,2,0,241.4,374
Ballia,UTTAR PRADESH,0,0,0,436.9,64.1,501,0,0,0,0,1627,0,0,0,0,182.6,333
Balrampur,UTTAR PRADESH,0,0,0,88.8,33.8,122.6,0,0,0,0,1047,0,10,1,0,101.7,171
Banda,UTTAR PRADESH,5,135,652,1651.1,371.3,2674.4,0,0,0,0,1450,0,0,0,0,516,693
Bara Banki,UTTAR PRADESH,1,2,797,639.7,637.2,2073.9,0,0,0,0,1792,0,139,4,0,321.9,466
Bareilly,UTTAR PRADESH,2,22,5652.5,1183.4,1244.2,8080.1,0,0,0,0,1297,0,34.6,4,0,431.1,639
Basti,UTTAR PRADESH,0,0,0,604.4,143.9,748.4,0,0,0,0,3343,0,14.6,1,0,252.9,522
Bhadohi,UTTAR PRADESH,0,0,84.875,661.8,33.5,780.1,0,0,0,0,1677,0,0,0,0,88.5,114
Bijnor,UTTAR PRADESH,2,30,0,247,337.7,584.7,0,0,0,0,1709,0,103,2,0,698.4,1044
Budaun,UTTAR PRADESH,4,190,0,141.3,24.6,165.9,0,0,0,0,1379,0,14.25,1,0,361.3,444
Bulandshahr,UTTAR PRADESH,0,0,3261,245.2,132.9,3639.1,0,0,0,0,1920,0,225.6,6,0,502.7,649
Chandauli,UTTAR PRADESH,0,0,0,401.6,136,537.6,0,0,0,0,3006,0,25,2,0,288.7,372
Chitrakoot,UTTAR PRADESH,3,125,0,171.8,70.6,242.4,0,0,0,0,1026,0,0,0,0,282.7,325
Deoria,UTTAR PRADESH,1,40,0,482.5,44.3,526.8,0,0,0,0,1650,0,74,3,0,248.4,512
Etah,UTTAR PRADESH,0,0,0,460.5,134.1,594.5,0,0,0,0,3458,0,0,0,0,81.8,87
Etawah,UTTAR PRADESH,0,0,197.5,2777.1,409.4,3384.1,0,0,0,0,1461,0,85,2,0,194.3,256
Farrukhabad,UTTAR PRADESH,0,0,0,228.4,255,483.4,0,0,0,0,1715,0,30,1,0,326.1,470
Fatehpur,UTTAR PRADESH,0,0,37,611.2,48.1,696.2,0,0,0,0,2763,0,36,2,0,210.8,250
Firozabad,UTTAR PRADESH,0,0,700,151.9,523.8,1375.7,0,0,0,0,1016,0,32.8,2,0,173,200
Gautam Buddha Nagar,UTTAR PRADESH,1,5,29662.16,11813.1,3315.5,44790.7,0,0,0,0,825,0,0,0,0,125.1,160
Ghaziabad,UTTAR PRADESH,0,0,2942.81,4051.2,3655.2,10649.2,0,0,0,0,1262,0,52,2,0,126.8,159
Ghazipur,UTTAR PRADESH,0,0,0,604.7,241.9,846.6,0,0,1,100,3237,0,0,0,0,163.5,246
Gonda,UTTAR PRADESH,0,0,0,189.8,249,438.8,0,0,0,0,2165,0,3,1,0,174.6,299
Gorakhpur,UTTAR PRADESH,0,0,1565,3403.2,1693.2,6661.4,0,0,0,0,2505,20,121,2,0,160.7,338
Hamirpur,UTTAR PRADESH,3,20,1478,120.5,43.9,1642.3,2,22,0,0,841,0,0,0,0,452.4,499
Hapur,UTTAR PRADESH,0,0,75,140.3,117.2,332.5,0,0,0,0,930,0,129,3,0,216.7,261
Hardoi,UTTAR PRADESH,2,60,45,1321.2,337.8,1704,0,0,0,0,2223,0,121.4,6,0,532.9,684
Hathras,UTTAR PRADESH,0,0,125,184.6,96.7,406.3,0,0,0,0,1861,0,0,0,0,102.7,108
Jalaun,UTTAR PRADESH,8,402,5,165.6,164.6,335.3,0,0,0,0,1404,0,30,2,0,153.4,165
Jaunpur,UTTAR PRADESH,0,0,125,1338.5,145.6,1609.2,0,0,0,0,3114,0,10,1,0,226.3,335
Jhansi,UTTAR PRADESH,9,223,1218,6939.9,2089.8,10247.8,0,0,0,0,1148,0,0,0,3.6,921.8,1219
Kannauj,UTTAR PRADESH,0,0,165,2301.1,42.2,2508.3,0,0,1,250,1765,0,27.4,3,0,200,273
Kanpur Dehat,UTTAR PRADESH,1,50,4279.24,11181.9,11,15472.1,0,0,0,0,2680,0,100,1,0,138.9,159
Kanpur Nagar,UTTAR PRADESH,2,225,733.845,590.1,4586.3,5910.2,0,0,0,0,2581,0,48,1,0,254.5,291
Kasganj,UTTAR PRADESH,0,0,0,259.3,12.6,271.9,0,0,0,0,1189,0,0,0,0,134.5,164
Kaushambi,UTTAR PRADESH,0,0,110,460.4,8.2,578.6,0,0,0,0,761,0,0,0,0,151.2,177
Kheri,UTTAR PRADESH,0,0,0,287.1,271.5,558.7,5,199.4,2,200,3355,0,88,4,0,418.6,585
Kushinagar,UTTAR PRADESH,0,0,0,336,9.8,345.8,0,0,0,0,1946,0,40,2,0,131.8,239
Lalitpur,UTTAR PRADESH,7,80,0,162.3,377,539.3,5,57,0,0,1396,437,0,0,30.6,894.4,1206
Lucknow,UTTAR PRADESH,0,0,15890.155,30675.4,61960.4,108525.9,0,0,0,0,1471,0,155.2,7,0,501.3,650
Mahoba,UTTAR PRADESH,12,235,0,150,125.7,275.7,0,0,0,0,959,27,0,0,0,934.9,1284
Mahrajganj,UTTAR PRADESH,0,0,50,519,26,595,0,0,0,0,1622,0,0,0,0,232.4,454
Mainpuri,UTTAR PRADESH,1,5,0,188.1,303.9,492,0,0,0,0,1309,0,0,0,0,149.7,165
Mathura,UTTAR PRADESH,1,5,976.6,932.5,674.7,2583.7,0,0,0,0,2130,0,45.1,2,0,96.9,103
Mau,UTTAR PRADESH,1,19,150,435.3,26,611.3,0,0,0,0,844,0,0,0,0,64.4,97
Meerut,UTTAR PRADESH,1,10,5542,2168.8,2298.2,10009,0,0,0,0,1727,0,166,6,5.7,156.3,186
Mirzapur,UTTAR PRADESH,2,125,0,568.6,100.9,669.5,0,0,0,0,1187,0,66.2,3,0,343.1,508
Moradabad,UTTAR PRADESH,0,0,3024.5,4375.6,623.4,8023.5,0,0,1,100,1128,0,13,2,0,517,754
Muzaffarnagar,UTTAR PRADESH,0,0,325.6,704.3,815.6,1845.5,0,0,0,0,975,0,35.2,6,8,171.3,231
Pilibhit,UTTAR PRADESH,0,0,0,327.7,38.3,366,0,0,0,0,996,0,40.6,4,0,490.1,847
Pratapgarh,UTTAR PRADESH,0,0,220,988,55,1263,0,0,1,315,1530,0,0,0,0,253.3,361
Prayagraj,UTTAR PRADESH,8,225,4107.65,5294.4,5043.3,14445.4,0,0,0,0,2170,0,27,3,0,834,1087
Rae Bareli,UTTAR PRADESH,2,12,0,1373.5,634.9,2008.4,0,0,1,230,2116,0,29.8,1,0,292,460
Rampur,UTTAR PRADESH,0,0,60,183.7,95.2,338.9,0,0,0,0,999,0,0,0,0,666.6,1067
Saharanpur,UTTAR PRADESH,1,60,6.825,1501.2,876.8,2384.8,0,0,0,0,1230,0,149.8,7,78,410.5,498
Sambhal,UTTAR PRADESH,0,0,0,58.1,62.1,120.1,0,0,0,0,1195,0,5,1,0,316.5,383
Sant Kabir Nagar,UTTAR PRADESH,0,0,0,315.6,19.7,335.3,0,0,0,0,1479,50,0,0,0,207.2,448
Shahjahanpur,UTTAR PRADESH,4,90,4139,2874.1,183.1,7196.2,0,0,0,0,3063,0,69.7,4,0,582.7,857
Shamli,UTTAR PRADESH,0,0,0,43.5,109.2,152.6,0,0,0,0,913,0,20.8,3,0,157,180
Shrawasti,UTTAR PRADESH,0,0,0,76.8,4,80.8,0,0,2,242,1007,0,0,0,0,44.4,54
Siddharthnagar,UTTAR PRADESH,0,0,0,570.2,38.4,608.6,0,0,0,0,873,0,0,0,0,138,276
Sitapur,UTTAR PRADESH,4,45,1100,335.9,435.9,1871.8,0,0,1,160,1475,0,123.4,5,0,453.3,586
Sonbhadra,UTTAR PRADESH,0,0,0,493.1,52.8,545.9,13,190,1,55,2645,0,0,0,399,732,1026
Sultanpur,UTTAR PRADESH,0,0,350,792.4,203.7,1346.1,0,0,0,0,1999,0,0,0,0,271.4,384
Unnao,UTTAR PRADESH,1,15,54.8,1053.3,461.7,1569.9,0,0,2,185,2830,0,106,5,0,367.9,466
Varanasi,UTTAR PRADESH,0,0,14395.46,10612,11857.7,36865.1,0,0,0,0,5368,0,0,0,0,367.9,493
,,,2643,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,updated,updated,updated,updated,Updated,Updated,,Updated,Updated,Updated,Updated,Updated,Updated,,Updated,Need to be updated..! (old data is loaded ),Need to be updated..! (old data is loaded )
