Dist_Name,State_Name,SP_cap(MW),SP_Counts,NR Capacity Installed (kW),NR Count,R Capacity Installed (kW),R Count,Discom,DDG_Solar_Cap_KW,Minigrid_cap_KW,Biomass(TDP),Floating solar(MW),Hydro power,SSL_Count,Utility(MW),Utility_OA(MW)
Agra,UTTAR PRADESH,888,220,11042,84,3988.66,743,DVVNL,0,0,200,0,0,1972,50,10
Aligarh,UTTAR PRADESH,762.5,192,4421,31,609.32,117,DVVNL,0,0,2,0,0,3703,0,0
Ambedkar Nagar,UTTAR PRADESH,664.5,153,1900,3,51.94,11,MVVNL,0,0,0,0,0,182,0,0
Amethi,UTTAR PRADESH,858.5,238,4199,18,19,6,MVVNL,0,0,7,0,0,1112,0,10
Amroha,UTTAR PRADESH,3663,997,285,10,15.24,3,PVVNL,0,0,20.6,0,0,0,0,0
Auraiya,UTTAR PRADESH,499,128,5856,4,25.02,8,DVVNL,0,325,0,0,0,1092,40,0
Ayodhya,UTTAR PRADESH,916,286,1652,27,339.61,79,MVVNL,0,0,10,0,0,276,14,0
Azamgarh,UTTAR PRADESH,970,333,1531,2,134.46,25,PUVVNL,0,170,0,0,0,166,0,0
Baghpat,UTTAR PRADESH,676,171,135,10,21.27,6,PVVNL,0,0,15,0,0,1092,0,0
Bahraich,UTTAR PRADESH,1207,374,31,1,150.42,27,MVVNL,112,0,12,0,0,701,10,30
Ballia,UTTAR PRADESH,913,333,96,1,37.8,8,PUVVNL,0,0,0,0,0,254,0,0
Balrampur,UTTAR PRADESH,508.5,171,75,1,22,4,MVVNL,0,0,10,0,0,0,0,0
Banda,UTTAR PRADESH,2580,693,2272,27,222.41,47,DVVNL,0,0,0,0,0,221,20,90
Bara Banki,UTTAR PRADESH,1609.5,466,1294,35,432.99,113,MVVNL,0,0,139,0,0,689,2,0
Bareilly,UTTAR PRADESH,2155.5,639,6632,41,752.45,154,MVVNL,0,0,34.6,0,0,382,2,20
Basti,UTTAR PRADESH,1264.5,522,270,10,57.97,12,PUVVNL,0,0,14.6,0,0,2047,0,0
Bhadohi,UTTAR PRADESH,442.5,114,455,23,9,2,PUVVNL,0,0,0,0,0,710,0,0
Bijnor,UTTAR PRADESH,3492,1044,130,17,176.39,45,PVVNL,0,0,103,0,0,979,0,30
Budaun,UTTAR PRADESH,1806.5,444,90,9,16,3,MVVNL,0,0,14.25,0,0,0,190,0
Bulandshahr,UTTAR PRADESH,2513.5,649,2151,15,44.02,12,PVVNL,0,0,225.6,0,0,990,0,0
Chandauli,UTTAR PRADESH,1443.5,372,1565,2,30.01,7,PUVVNL,0,0,25,0,0,1616,0,0
Chitrakoot,UTTAR PRADESH,1413.5,325,153,13,21.13,8,DVVNL,0,0,0,800,0,311,125,0
Deoria,UTTAR PRADESH,1242,512,130,2,20,6,PUVVNL,0,0,74,0,0,533,0,40
Etah,UTTAR PRADESH,409,87,325,15,38,9,DVVNL,0,0,0,0,0,2689,0,0
Etawah,UTTAR PRADESH,971.5,256,2914,20,143.86,43,DVVNL,0,0,85,0,0,782,0,0
Farrukhabad,UTTAR PRADESH,1630.5,470,181,7,88.95,24,DVVNL,0,0,30,0,0,736,0,0
Fatehpur,UTTAR PRADESH,1054,250,265,10,21.43,7,PUVVNL,0,0,36,0,0,813,0,0
Firozabad,UTTAR PRADESH,865,200,775,9,420.14,79,DVVNL,0,0,32.8,0,0,142,0,0
Gautam Buddha Nagar,UTTAR PRADESH,625.5,160,38015,55,2415.555,352,PVVNL,0,0,0,0,0,252,0,5
Ghaziabad,UTTAR PRADESH,634,159,6534,43,2519.55,416,PVVNL,0,0,52,0,0,630,0,0
Ghazipur,UTTAR PRADESH,817.5,246,151,10,123.44,37,PUVVNL,0,100,0,0,0,1319,0,0
Gonda,UTTAR PRADESH,873,299,86,1,87.07,18,MVVNL,0,0,3,0,0,133,0,0
Gorakhpur,UTTAR PRADESH,803.5,338,4185,19,1006.58,210,PUVVNL,0,0,121,0,0,520,0,0
Hamirpur,UTTAR PRADESH,2262,499,1558,2,22.7,9,DVVNL,22,0,0,0,0,142,15,0
Hapur,UTTAR PRADESH,1083.5,261,105,7,77.97,12,PVVNL,0,0,129,0,0,161,0,0
Hardoi,UTTAR PRADESH,2664.5,684,1237,38,186.26,45,MVVNL,0,0,121.4,0,0,320,50,10
Hathras,UTTAR PRADESH,513.5,108,240,9,62.62,11,DVVNL,0,0,0,0,0,1133,0,0
Jalaun,UTTAR PRADESH,767,165,2616,6,72.95,22,DVVNL,0,0,30,1455,0,489,407,0
Jaunpur,UTTAR PRADESH,1131.5,335,1035,9,59.61,14,PUVVNL,0,0,10,0,0,645,0,0
Jhansi,UTTAR PRADESH,4609,1219,7060,31,1206.14,291,DVVNL,0,0,0,600,0,252,93,50
Kannauj,UTTAR PRADESH,1000,273,2356,5,13.88,4,DVVNL,0,250,27.4,0,0,750,0,0
Kanpur Dehat,UTTAR PRADESH,694.5,159,330,2,10.96,3,DVVNL,0,0,100,50,0,1837,50,0
Kanpur Nagar,UTTAR PRADESH,1272.5,291,1190,26,3028.51,671,DVVNL,0,0,48,0,0,1532,225,0
Kasganj,UTTAR PRADESH,672.5,164,200,1,0,0,DVVNL,0,0,0,0,0,527,0,0
Kaushambi,UTTAR PRADESH,756,177,270,4,2,1,PUVVNL,0,0,0,0,0,82,0,0
Kheri,UTTAR PRADESH,2093,585,230,26,152.37,35,MVVNL,199,200,88,0,0,1349,0,0
Kushinagar,UTTAR PRADESH,659,239,0,0,9.75,1,PUVVNL,0,0,40,0,0,651,0,0
Lalitpur,UTTAR PRADESH,4472,1206,140,3,205.99,56,DVVNL,36,0,0,600,30.5,475,75,0
Lucknow,UTTAR PRADESH,2506.5,650,38900,207,56515.61,11243,MVVNL,0,0,155.2,0,0,654,0,0
Mahoba,UTTAR PRADESH,4674.5,1284,134,2,80.96,27,DVVNL,0,0,0,0,0,231,205,20
Mahrajganj,UTTAR PRADESH,1162,454,245,10,12,2,PUVVNL,0,0,0,0,0,250,0,0
Mainpuri,UTTAR PRADESH,748.5,165,91,8,93.36,25,DVVNL,0,0,0,0,0,524,5,0
Mathura,UTTAR PRADESH,484.5,103,1837,37,468.94,105,DVVNL,0,0,45.1,0,0,1417,5,0
Mau,UTTAR PRADESH,322,97,249,2,23,5,PUVVNL,0,0,0,0,0,148,0,0
Meerut,UTTAR PRADESH,781.5,186,7535,44,1407.21,265,PVVNL,0,0,166,0,0,672,0,10
Mirzapur,UTTAR PRADESH,1715.5,508,245,11,44.02,9,PUVVNL,0,0,66.2,75,0,70,75,50
Moradabad,UTTAR PRADESH,2585,754,4866,26,313.66,51,PVVNL,0,100,13,0,0,459,0,0
Muzaffarnagar,UTTAR PRADESH,856.5,231,942,21,511.6,106,PVVNL,0,0,35.2,0,0,279,0,0
Pilibhit,UTTAR PRADESH,2450.5,847,205,3,21.47,5,MVVNL,0,0,40.6,0,0,191,0,0
Pratapgarh,UTTAR PRADESH,1266.5,361,795,24,19.99,4,PUVVNL,0,315,0,0,0,399,0,0
Prayagraj,UTTAR PRADESH,4170,1087,7357,46,2994.13,656,PUVVNL,0,0,27,50,0,866,225,0
Rae Bareli,UTTAR PRADESH,1460,460,1277,27,295.8,59,MVVNL,0,230,29.8,0,0,1185,0,12
Rampur,UTTAR PRADESH,3333,1067,198,29,28,7,PVVNL,0,0,0,0,0,354,0,0
Saharanpur,UTTAR PRADESH,2052.5,498,1408,28,650.25,144,PVVNL,0,0,149.8,0,0,69,0,70
Sambhal,UTTAR PRADESH,1582.5,383,10,2,62.05,9,PVVNL,0,0,5,0,0,463,0,0
Sant Kabir Nagar,UTTAR PRADESH,1036,448,0,0,19.71,3,PUVVNL,0,0,0,0,0,708,0,0
Shahjahanpur,UTTAR PRADESH,2913.5,857,4934,30,132.96,23,MVVNL,0,0,69.7,0,0,1968,70,20
Shamli,UTTAR PRADESH,785,180,15,3,44,9,PVVNL,0,0,20.8,0,0,231,0,0
Shrawasti,UTTAR PRADESH,222,54,46,1,4,1,MVVNL,0,242,0,0,0,275,0,0
Siddharthnagar,UTTAR PRADESH,690,276,260,12,18.96,3,PUVVNL,0,0,0,0,0,0,0,0
Sitapur,UTTAR PRADESH,2266.5,586,475,32,257.16,60,MVVNL,0,160,123.4,0,0,344,5,30
Sonbhadra,UTTAR PRADESH,3660,1026,184,18,33,6,PUVVNL,190,55,0,0,471,1221,0,0
Sultanpur,UTTAR PRADESH,1357,384,1015,19,70.99,16,MVVNL,0,0,0,0,0,793,0,0
Unnao,UTTAR PRADESH,1839.5,466,1038,41,258.17,64,MVVNL,0,185,106,0,0,1512,0,15
Varanasi,UTTAR PRADESH,1839.5,493,21444,77,4167.684,854,PUVVNL,0,0,0,0,0,3947,0,0
